"","species","lat","lon","fullCountry"
"1421","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1422","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1423","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1424","Heterohyrax brucei",NA,NA,"Zambia"
"1425","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1426","Heterohyrax brucei",NA,NA,"Zambia"
"1427","Heterohyrax brucei",NA,NA,"Djibouti"
"1428","Heterohyrax brucei",-15.125,13.125,"Angola"
"1429","Heterohyrax brucei",-15.125,13.375,"Angola"
"1430","Heterohyrax brucei",NA,NA,NA
"1431","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1432","Heterohyrax brucei",NA,NA,"Zambia"
"1433","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1434","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1435","Heterohyrax brucei",NA,NA,"Zambia"
"1436","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1437","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1438","Heterohyrax brucei",NA,NA,"Botswana"
"1439","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1440","Heterohyrax brucei",NA,NA,"Ethiopia"
"1441","Heterohyrax brucei",9.1,38.700001,"Ethiopia"
"1442","Heterohyrax brucei",NA,NA,NA
"1443","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1444","Heterohyrax brucei",NA,NA,"Ethiopia"
"1445","Heterohyrax brucei",NA,NA,NA
"1446","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1447","Heterohyrax brucei",NA,NA,"Zambia"
"1448","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1449","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1450","Heterohyrax brucei",NA,NA,"Zambia"
"1451","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1452","Heterohyrax brucei",NA,NA,NA
"1453","Heterohyrax brucei",NA,NA,"Kenya"
"1454","Heterohyrax brucei",-12.73515,14.73604,"Angola"
"1455","Heterohyrax brucei",NA,NA,"Ethiopia"
"1456","Heterohyrax brucei",NA,NA,"United States"
"1457","Heterohyrax brucei",NA,NA,NA
"1458","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1459","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1460","Heterohyrax brucei",NA,NA,"Ethiopia"
"1461","Heterohyrax brucei",-13.375,13.625,"Angola"
"1462","Heterohyrax brucei",NA,NA,NA
"1463","Heterohyrax brucei",NA,NA,"Zambia"
"1464","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1465","Heterohyrax brucei",NA,NA,"Zambia"
"1466","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1467","Heterohyrax brucei",-2.4167,35,"Tanzania, United Republic of"
"1468","Heterohyrax brucei",-0.7167,36.416698,"Kenya"
"1469","Heterohyrax brucei",NA,NA,NA
"1470","Heterohyrax brucei",NA,NA,NA
"1471","Heterohyrax brucei",NA,NA,NA
"1472","Heterohyrax brucei",NA,NA,NA
"1473","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1474","Heterohyrax brucei",NA,NA,"Namibia"
"1475","Heterohyrax brucei",NA,NA,NA
"1476","Heterohyrax brucei",NA,NA,NA
"1477","Heterohyrax brucei",NA,NA,NA
"1478","Heterohyrax brucei",NA,NA,NA
"1479","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1480","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1481","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1482","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1483","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1484","Heterohyrax brucei",NA,NA,NA
"1485","Heterohyrax brucei",9.1,38.700001,"Ethiopia"
"1486","Heterohyrax brucei",-12.375,13.6875,"Angola"
"1487","Heterohyrax brucei",NA,NA,"Ethiopia"
"1488","Heterohyrax brucei",NA,NA,NA
"1489","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1490","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1491","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1492","Heterohyrax brucei",NA,NA,"Zambia"
"1493","Heterohyrax brucei",NA,NA,"Zambia"
"1494","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1495","Heterohyrax brucei",NA,NA,NA
"1496","Heterohyrax brucei",NA,NA,NA
"1497","Heterohyrax brucei",NA,NA,NA
"1498","Heterohyrax brucei",-15.125,13.625,"Angola"
"1499","Heterohyrax brucei",-12.125,15.375,"Angola"
"1500","Heterohyrax brucei",-15.375,13.625,"Angola"
"1501","Heterohyrax brucei",NA,NA,NA
"1502","Heterohyrax brucei",NA,NA,NA
"1503","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1504","Heterohyrax brucei",NA,NA,"Zimbabwe"
